disasterNumber,declarationDate,incidentType,stateAbbreviation,projectAmount
3428,2020-03-13T00:00:00.000Z,Biological,CA,52434.13
3428,2020-03-13T00:00:00.000Z,Biological,CA,34708.54
3428,2020-03-13T00:00:00.000Z,Biological,CA,71857.76
3428,2020-03-13T00:00:00.000Z,Biological,CA,156492.0
3428,2020-03-13T00:00:00.000Z,Biological,CA,30050.0
3428,2020-03-13T00:00:00.000Z,Biological,CA,4954.16
3428,2020-03-13T00:00:00.000Z,Biological,CA,10526.94
3428,2020-03-13T00:00:00.000Z,Biological,CA,4650.55
3428,2020-03-13T00:00:00.000Z,Biological,CA,75509.46
3428,2020-03-13T00:00:00.000Z,Biological,CA,55456.12
3428,2020-03-13T00:00:00.000Z,Biological,CA,6967.8
3428,2020-03-13T00:00:00.000Z,Biological,CA,177447.22
3428,2020-03-13T00:00:00.000Z,Biological,CA,159537.7
3428,2020-03-13T00:00:00.000Z,Biological,CA,77511.27
3428,2020-03-13T00:00:00.000Z,Biological,CA,59928.64
3428,2020-03-13T00:00:00.000Z,Biological,CA,18900.0
3428,2020-03-13T00:00:00.000Z,Biological,CA,34560.0
3428,2020-03-13T00:00:00.000Z,Biological,CA,217629.57
3428,2020-03-13T00:00:00.000Z,Biological,CA,151652.74
3428,2020-03-13T00:00:00.000Z,Biological,CA,1612389.47
3428,2020-03-13T00:00:00.000Z,Biological,CA,140452.56
3428,2020-03-13T00:00:00.000Z,Biological,CA,394713.39
3442,2020-03-13T00:00:00.000Z,Biological,AZ,64475.39
3442,2020-03-13T00:00:00.000Z,Biological,AZ,46337.55
3442,2020-03-13T00:00:00.000Z,Biological,AZ,62434.08
3442,2020-03-13T00:00:00.000Z,Biological,AZ,63338.04
3442,2020-03-13T00:00:00.000Z,Biological,AZ,39260.57
3442,2020-03-13T00:00:00.000Z,Biological,AZ,73158.16
3443,2020-03-13T00:00:00.000Z,Biological,NV,40423.14
3443,2020-03-13T00:00:00.000Z,Biological,NV,6924.24
3484,2020-03-13T00:00:00.000Z,Biological,MA,14597.52
3484,2020-03-13T00:00:00.000Z,Biological,MA,20456.72
3484,2020-03-13T00:00:00.000Z,Biological,MA,130888.85
